acc,avg_expression,stddev_expression
hsa-miR-21-5p,239915.513,321702.1762
hsa-miR-17-5p,132228.7723,196868.8881
hsa-miR-451a,51026.0691,148384.3341
hsa-miR-29c-3p,47564.4809,77748.7194
hsa-miR-24-3p,42780.1204,44829.5291
hsa-miR-145-5p,32607.8437,51988.775
hsa-miR-93-5p,27195.995,39138.4646
hsa-miR-26a-5p,26547.554,34615.1551
hsa-miR-191-5p,23500.8188,26560.1424
hsa-miR-19b-3p,21148.4333,47694.5812
