acc,avg_expression,stddev_expression
hsa-miR-21-5p,136972.2285,35783.0438
hsa-miR-22-3p,71378.549,15121.5327
hsa-miR-191-5p,70472.2471,24484.226
hsa-miR-146b-5p,50626.3203,17637.3996
hsa-miR-378a-3p,42451.0994,11995.1003
hsa-miR-142-5p,31445.7297,13960.6355
hsa-let-7a-5p,29970.7824,5553.5067
hsa-let-7f-5p,29694.7356,4446.768
hsa-miR-26a-5p,29213.7597,4439.7628
hsa-miR-92a-3p,21966.6645,5055.8122
